clip_id,category,sample_id,level_db
clip_0001,Airport,01,-40
clip_0002,Airport,01,-35
clip_0003,Airport,01,-30
clip_0004,Airport,01,-25
clip_0005,Airport,01,-20
clip_0006,Airport,01,-15
clip_0007,Airport,01,-10
clip_0008,Airport,02,-40
clip_0009,Airport,02,-35
clip_0010,Airport,02,-30
clip_0011,Airport,02,-25
clip_0012,Airport,02,-20
clip_0013,Airport,02,-15
clip_0014,Airport,02,-10
clip_0015,Airport,03,-40
clip_0016,Airport,03,-35
clip_0017,Airport,03,-30
clip_0018,Airport,03,-25
clip_0019,Airport,03,-20
clip_0020,Airport,03,-15
clip_0021,Airport,03,-10
clip_0022,Airport,04,-40
clip_0023,Airport,04,-35
clip_0024,Airport,04,-30
clip_0025,Airport,04,-25
clip_0026,Airport,04,-20
clip_0027,Airport,04,-15
clip_0028,Airport,04,-10
clip_0029,Airport,05,-40
clip_0030,Airport,05,-35
clip_0031,Airport,05,-30
clip_0032,Airport,05,-25
clip_0033,Airport,05,-20
clip_0034,Airport,05,-15
clip_0035,Airport,05,-10
clip_0036,Cafe,01,-40
clip_0037,Cafe,01,-35
clip_0038,Cafe,01,-30
clip_0039,Cafe,01,-25
clip_0040,Cafe,01,-20
clip_0041,Cafe,01,-15
clip_0042,Cafe,01,-10
clip_0043,Cafe,02,-40
clip_0044,Cafe,02,-35
clip_0045,Cafe,02,-30
clip_0046,Cafe,02,-25
clip_0047,Cafe,02,-20
clip_0048,Cafe,02,-15
clip_0049,Cafe,02,-10
clip_0050,Cafe,03,-40
clip_0051,Cafe,03,-35
clip_0052,Cafe,03,-30
clip_0053,Cafe,03,-25
clip_0054,Cafe,03,-20
clip_0055,Cafe,03,-15
clip_0056,Cafe,03,-10
clip_0057,Cafe,04,-40
clip_0058,Cafe,04,-35
clip_0059,Cafe,04,-30
clip_0060,Cafe,04,-25
clip_0061,Cafe,04,-20
clip_0062,Cafe,04,-15
clip_0063,Cafe,04,-10
clip_0064,Cafe,05,-40
clip_0065,Cafe,05,-35
clip_0066,Cafe,05,-30
clip_0067,Cafe,05,-25
clip_0068,Cafe,05,-20
clip_0069,Cafe,05,-15
clip_0070,Cafe,05,-10
clip_0071,Construction,01,-40
clip_0072,Construction,01,-35
clip_0073,Construction,01,-30
clip_0074,Construction,01,-25
clip_0075,Construction,01,-20
clip_0076,Construction,01,-15
clip_0077,Construction,01,-10
clip_0078,Construction,02,-40
clip_0079,Construction,02,-35
clip_0080,Construction,02,-30
clip_0081,Construction,02,-25
clip_0082,Construction,02,-20
clip_0083,Construction,02,-15
clip_0084,Construction,02,-10
clip_0085,Construction,03,-40
clip_0086,Construction,03,-35
clip_0087,Construction,03,-30
clip_0088,Construction,03,-25
clip_0089,Construction,03,-20
clip_0090,Construction,03,-15
clip_0091,Construction,03,-10
clip_0092,Construction,04,-40
clip_0093,Construction,04,-35
clip_0094,Construction,04,-30
clip_0095,Construction,04,-25
clip_0096,Construction,04,-20
clip_0097,Construction,04,-15
clip_0098,Construction,04,-10
clip_0099,Construction,05,-40
clip_0100,Construction,05,-35
clip_0101,Construction,05,-30
clip_0102,Construction,05,-25
clip_0103,Construction,05,-20
clip_0104,Construction,05,-15
clip_0105,Construction,05,-10
clip_0106,Home,01,-40
clip_0107,Home,01,-35
clip_0108,Home,01,-30
clip_0109,Home,01,-25
clip_0110,Home,01,-20
clip_0111,Home,01,-15
clip_0112,Home,01,-10
clip_0113,Home,02,-40
clip_0114,Home,02,-35
clip_0115,Home,02,-30
clip_0116,Home,02,-25
clip_0117,Home,02,-20
clip_0118,Home,02,-15
clip_0119,Home,02,-10
clip_0120,Home,03,-40
clip_0121,Home,03,-35
clip_0122,Home,03,-30
clip_0123,Home,03,-25
clip_0124,Home,03,-20
clip_0125,Home,03,-15
clip_0126,Home,03,-10
clip_0127,Home,04,-40
clip_0128,Home,04,-35
clip_0129,Home,04,-30
clip_0130,Home,04,-25
clip_0131,Home,04,-20
clip_0132,Home,04,-15
clip_0133,Home,04,-10
clip_0134,Home,05,-40
clip_0135,Home,05,-35
clip_0136,Home,05,-30
clip_0137,Home,05,-25
clip_0138,Home,05,-20
clip_0139,Home,05,-15
clip_0140,Home,05,-10
clip_0141,Office,01,-40
clip_0142,Office,01,-35
clip_0143,Office,01,-30
clip_0144,Office,01,-25
clip_0145,Office,01,-20
clip_0146,Office,01,-15
clip_0147,Office,01,-10
clip_0148,Office,02,-40
clip_0149,Office,02,-35
clip_0150,Office,02,-30
clip_0151,Office,02,-25
clip_0152,Office,02,-20
clip_0153,Office,02,-15
clip_0154,Office,02,-10
clip_0155,Office,03,-40
clip_0156,Office,03,-35
clip_0157,Office,03,-30
clip_0158,Office,03,-25
clip_0159,Office,03,-20
clip_0160,Office,03,-15
clip_0161,Office,03,-10
clip_0162,Office,04,-40
clip_0163,Office,04,-35
clip_0164,Office,04,-30
clip_0165,Office,04,-25
clip_0166,Office,04,-20
clip_0167,Office,04,-15
clip_0168,Office,04,-10
clip_0169,Office,05,-40
clip_0170,Office,05,-35
clip_0171,Office,05,-30
clip_0172,Office,05,-25
clip_0173,Office,05,-20
clip_0174,Office,05,-15
clip_0175,Office,05,-10
clip_0176,StreetTraffic,01,-40
clip_0177,StreetTraffic,01,-35
clip_0178,StreetTraffic,01,-30
clip_0179,StreetTraffic,01,-25
clip_0180,StreetTraffic,01,-20
clip_0181,StreetTraffic,01,-15
clip_0182,StreetTraffic,01,-10
clip_0183,StreetTraffic,02,-40
clip_0184,StreetTraffic,02,-35
clip_0185,StreetTraffic,02,-30
clip_0186,StreetTraffic,02,-25
clip_0187,StreetTraffic,02,-20
clip_0188,StreetTraffic,02,-15
clip_0189,StreetTraffic,02,-10
clip_0190,StreetTraffic,03,-40
clip_0191,StreetTraffic,03,-35
clip_0192,StreetTraffic,03,-30
clip_0193,StreetTraffic,03,-25
clip_0194,StreetTraffic,03,-20
clip_0195,StreetTraffic,03,-15
clip_0196,StreetTraffic,03,-10
clip_0197,StreetTraffic,04,-40
clip_0198,StreetTraffic,04,-35
clip_0199,StreetTraffic,04,-30
clip_0200,StreetTraffic,04,-25
clip_0201,StreetTraffic,04,-20
clip_0202,StreetTraffic,04,-15
clip_0203,StreetTraffic,04,-10
clip_0204,StreetTraffic,05,-40
clip_0205,StreetTraffic,05,-35
clip_0206,StreetTraffic,05,-30
clip_0207,StreetTraffic,05,-25
clip_0208,StreetTraffic,05,-20
clip_0209,StreetTraffic,05,-15
clip_0210,StreetTraffic,05,-10
